config_id,question_id,top_k,chunking_strategy,search_type,category,faithfulness,answer_relevancy,context_recall,context_precision,semantic_similarity
0,0,3,recursive_1000_200,vetorial,FATUAL,1.0,0.9914884716008886,1.0,0.9999999999,0.8896148517799178
0,1,3,recursive_1000_200,vetorial,FATUAL,0.0,0.0,0.0,0.0,0.2825969282842713
0,2,3,recursive_1000_200,vetorial,FATUAL,1.0,1.0,1.0,0.9999999999,0.9795410649418288
0,3,3,recursive_1000_200,vetorial,FATUAL,0.5,0.9973902284244116,1.0,0.9999999999,0.9008887024384724
0,4,3,recursive_1000_200,vetorial,FATUAL,1.0,0.995366339769926,1.0,0.9999999999,0.9068452102576748
0,5,3,recursive_1000_200,vetorial,FATUAL,0.0,0.9319280911110646,0.5,0.9999999999,0.7646415204685459
0,6,3,recursive_1000_200,vetorial,FATUAL,1.0,0.9999999999999996,1.0,0.9999999999,0.8618491467663993
0,7,3,recursive_1000_200,vetorial,FATUAL,0.0,0.994886925888154,1.0,0.9999999999,0.8442746670353636
0,8,3,recursive_1000_200,vetorial,FATUAL,0.6666666666666666,0.9984232189213496,1.0,0.9999999999,0.9021197901107424
0,9,3,recursive_1000_200,vetorial,FATUAL,1.0,0.9972968670998038,1.0,0.9999999999,0.8881291739580931
0,10,3,recursive_1000_200,vetorial,SÍNTESE,1.0,0.9664233449935984,0.2857142857142857,0.9999999999,0.8264088304922569
0,11,3,recursive_1000_200,vetorial,SÍNTESE,1.0,0.9422514007334546,1.0,0.9999999999,0.8358947376491037
0,12,3,recursive_1000_200,vetorial,SÍNTESE,1.0,0.9794927547984869,1.0,0.9999999999,0.8245388362233331
0,13,3,recursive_1000_200,vetorial,SÍNTESE,1.0,0.8753320558394974,1.0,0.9999999999,0.7580625975055905
0,14,3,recursive_1000_200,vetorial,SÍNTESE,0.75,0.999997933647266,0.5,0.9999999999,0.8922513049796543
0,15,3,recursive_1000_200,vetorial,SÍNTESE,1.0,0.993400809053518,0.5555555555555556,0.9999999999,0.8259161177505003
0,16,3,recursive_1000_200,vetorial,SÍNTESE,1.0,0.9080675818229887,1.0,0.9999999999,0.8012338208930322
0,17,3,recursive_1000_200,vetorial,SÍNTESE,1.0,0.9448904279498548,0.2727272727272727,0.9999999999,0.7838627950847492
0,18,3,recursive_1000_200,vetorial,SÍNTESE,0.8571428571428571,0.8675833333413053,0.3333333333333333,0.9999999999,0.7250399742710881
0,19,3,recursive_1000_200,vetorial,SÍNTESE,1.0,0.9999999999999994,1.0,0.9999999999,0.8374252738540056
0,20,3,recursive_1000_200,vetorial,PROCEDIMENTAL,1.0,0.9945361772380846,1.0,0.9999999999,0.6898585964881584
0,21,3,recursive_1000_200,vetorial,PROCEDIMENTAL,0.5,0.0,0.0,0.0,0.3008838122054369
0,22,3,recursive_1000_200,vetorial,PROCEDIMENTAL,0.8,0.0,0.4,0.9999999999,0.6706614857180284
0,23,3,recursive_1000_200,vetorial,PROCEDIMENTAL,1.0,0.9941307026802,1.0,0.9999999999,0.7945452189033892
0,24,3,recursive_1000_200,vetorial,PROCEDIMENTAL,1.0,0.7666202027451473,1.0,0.9999999999,0.9349645897962922
0,25,3,recursive_1000_200,vetorial,PROCEDIMENTAL,1.0,0.853657336115364,1.0,0.9999999999,0.8611598822743227
0,26,3,recursive_1000_200,vetorial,PROCEDIMENTAL,1.0,0.9021881457383182,0.0,0.9999999999,0.7337473997239622
0,27,3,recursive_1000_200,vetorial,PROCEDIMENTAL,0.7857142857142857,1.0000000000000004,0.5,0.9999999999,0.703135127033101
0,28,3,recursive_1000_200,vetorial,PROCEDIMENTAL,0.0,0.0,0.5,0.9999999999,0.3364379296394826
0,29,3,recursive_1000_200,vetorial,PROCEDIMENTAL,1.0,0.9998015767481826,0.0,0.9999999999,0.4355038037253722
0,30,3,recursive_1000_200,vetorial,AGULHA NO PALHEIRO,0.6666666666666666,0.9844900081860306,1.0,0.9999999999,0.9510249059666828
0,31,3,recursive_1000_200,vetorial,AGULHA NO PALHEIRO,1.0,0.9551097827540604,1.0,0.9999999999,0.7777228100270508
0,32,3,recursive_1000_200,vetorial,AGULHA NO PALHEIRO,0.3333333333333333,0.9396161875161678,1.0,0.9999999999,0.9081530652078202
0,33,3,recursive_1000_200,vetorial,AGULHA NO PALHEIRO,0.0,0.9762574577288337,1.0,0.9999999999,0.8028046372815449
0,34,3,recursive_1000_200,vetorial,AGULHA NO PALHEIRO,1.0,0.9968327696790878,1.0,0.9999999999,0.9124896445137564
0,35,3,recursive_1000_200,vetorial,AGULHA NO PALHEIRO,1.0,0.8465676642943967,1.0,0.9999999999,0.7815136413209962
0,36,3,recursive_1000_200,vetorial,AGULHA NO PALHEIRO,1.0,0.7087463800073796,1.0,0.9999999999,0.9506676034494426
0,37,3,recursive_1000_200,vetorial,AGULHA NO PALHEIRO,1.0,0.6111167118215644,1.0,0.9999999999,0.9416816642746276
0,38,3,recursive_1000_200,vetorial,AGULHA NO PALHEIRO,1.0,0.9970999035702152,1.0,0.9999999999,0.8257810614464955
0,39,3,recursive_1000_200,vetorial,AGULHA NO PALHEIRO,1.0,0.997411552023614,1.0,0.9999999999,0.871262195439003
0,40,3,recursive_1000_200,vetorial,DEPENDENTE DE HISTÓRICO,1.0,0.9273882868346698,1.0,0.9999999999,0.7153191776697378
0,41,3,recursive_1000_200,vetorial,DEPENDENTE DE HISTÓRICO,0.0,0.0,0.0,0.0,0.28771313537957
0,42,3,recursive_1000_200,vetorial,DEPENDENTE DE HISTÓRICO,0.6666666666666666,0.9567352363348688,0.0,0.0,0.4945249907776404
0,43,3,recursive_1000_200,vetorial,DEPENDENTE DE HISTÓRICO,0.0,0.0,0.2,0.9999999999,0.3057689888623025
0,44,3,recursive_1000_200,vetorial,DEPENDENTE DE HISTÓRICO,1.0,0.942862013464886,0.0,0.9999999999,0.6013521624528276
0,45,3,recursive_1000_200,vetorial,DEPENDENTE DE HISTÓRICO,0.6666666666666666,0.5649910383926211,0.0,0.0,0.6605625470314431
0,46,3,recursive_1000_200,vetorial,DEPENDENTE DE HISTÓRICO,1.0,0.961243251096682,1.0,0.9999999999,0.8290068762986622
0,47,3,recursive_1000_200,vetorial,DEPENDENTE DE HISTÓRICO,0.5,0.0,0.0,0.9999999999,0.3619535977027853
